idx,question,context,true_label,baseline_sim,trained_sim,improvement
0,Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?,To evaluate whether a well developed collateral circulation predisposes to restenosis after percutaneous coronary intervention (PCI).,0,0.769237756729126,0.5509995159179998,-0.2182382408111262
1,Should pulp chamber pulpotomy be seen as a permanent treatment?,"We demonstrated that a greater number of participants in the experimental group were able to successfully control their psychophysiological parameters, in comparison to their peers in the control group. Significant results (p<0.05) were noted in regulation of GSR following short stress test conditions (p = 0.037), in regulation of HR after exposure to STROOP stressor (p = 0.037), in regulation of GSR following the Math and GSR stressors (p = 0.033, p = 0.409) and in achieving HR - breathing coherence following the math stressor (p = 0.042).",0,0.6937545537948608,0.4866618213800585,-0.20709273241480236
2,Affect-regulated exercise intensity: does training at an intensity that feels 'good' improve physical health?,"Affect-regulated exercise to feel 'good' can be used to control exercise intensity amongst both active and sedentary individuals and should support exercise adherence. It is not known, however, whether affect-regulated exercise training can lead to physical health gains. The aim of this study was to examine if affect-regulated exercise to feel 'good' leads to improved fitness over the course of an 8-week training programme.",1,0.8055931329727173,0.8362768966619312,0.030683763689213883
3,Can progression of valvar aortic stenosis be predicted accurately?,To determine whether the use of hydrophilic guidewires has increased the technical success rate of peripheral percutaneous transluminal angioplasty (PTA).MATERIAL/,0,0.8525018692016602,0.6209694489938116,-0.2315324202078486
4,Eyelid-parotid metastasis: do we screen for coexisting masses?,"These cases illustrate that tumours involving eyelids and parotid glands can present simultaneously or sequentially, and either of these structures could be the focus of primary or metastatic tumour. The important message for oculoplastic and parotid surgeons is to routinely assess both the periocular and parotid area when patients present with a mass in either structure.",1,0.8313393592834473,0.7232482674145917,-0.10809109186885557
5,Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?,"Anteroposterior, lateral, and right and left oblique lumbar spine radiographs are often a standard part of the evaluation of children who are clinically suspected of having spondylolysis. Recent concerns regarding radiation exposure and costs have brought the value of oblique radiographs into question. The purpose of the present study was to determine the diagnostic value of oblique views in the diagnosis of spondylolysis.",0,0.7177780270576477,0.4877708026683861,-0.23000722438926158
6,Is withdrawal-induced anxiety in alcoholism based on beta-endorphin deficiency?,"The H&NS was highly reliable and more strongly correlated to the specific measures than to the general measure. Eating/swallowing (ES) and speech/communication (SC) were not well correlated with general health domains. Head and neck pain was highly correlated to general bodily pain (0.88, p<.0001). Despite correlations to some general health domains, appearance (AP) was not fully reflected by any other domain.",0,0.7858025431632996,0.6905550688598532,-0.09524747430344638
7,"Malnutrition, a new inducer for arterial calcification in hemodialysis patients?","Independent double readings of 1,003 consecutive barium enemas (822 double- and 181 single-contrast examinations) were prospectively performed. From this pool of 1,003 examinations, 994 were included in our study. Examinations showing at least one polyp or carcinoma 5 mm or larger were considered to have positive results. For combined readings, results were considered positive if either of the two interpreters reported finding a polyp or carcinoma. A McNemar test was used to compare the first reader's results with the combined results of the first and second readers. Results were retrospectively correlated with endoscopic or surgical results in 360 patients, and agreement between first and combined readings and endoscopic results was determined.",0,0.6676458120346069,0.5639558291024961,-0.10368998293211085
8,Xanthogranulomatous cholecystitis: a premalignant condition?,"The expression of p53, PCNA and beta-catenin in XGC was significantly different from GBC and similar to chronic cholecystitis, thus indicating the inflammatory nature of XGC and may not support a premalignant nature of the lesion.",1,0.753699779510498,0.658261332350339,-0.09543844716015903
9,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,"Individuals with type 1 diabetes have a high risk of developing cardiovascular diseases, and it has been reported that they consume a high atherogenic diet. We examined how nutrient intake and adherence to current European nutritional recommendations evolved in a large cohort of European individuals with type 1 diabetes over a period of 7 years.SUBJECTS/",0,0.7915939092636108,0.3916536398218288,-0.399940269441782
