question,Context1,Context2,Answer,Ground_truth,Long_answer,pubid,response_time,retrieval_score_1,retrieval_score_2,question_id,embedding_model,embedding_dimension,year,meshes
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. This was a retrospective study of patients who underwent emergency laparotomy from June 2010 to May 2012. The primary end point of the study was 30-day mortality, age-related 30-day mortality and 1-year all-cause mortality. 477 laparotomies were performed in 446 patients. 57% were aged<70 and 43% aged>70 years. 30-day mortality was 12, 4% in those aged<70 years and 22% in those>70 years (p<0.001). 1-year mortality was 25, 15% in those aged under 70 years and 38% in those aged>70 years (p<0.001).","To determine whether decreasing lengths of stay over time for selected diagnostic categories were associated with increased hospital readmission rates and mean number of physician visits after discharge. Retrospective descriptive study. The seven large (125 beds or more) acute care hospitals in Winnipeg. Manitoba residents admitted to any one of the seven hospitals because acute myocardial infarction (AMI), bronchitis or asthma, transurethral prostatectomy (TURP) and uterine or adnexal procedures for nonmalignant disease during the fiscal years 1989-90 to 1992-93. Patients from out of province, those who died in hospital, those with excessively long stays (more than 60 days) and those who were transferred to or from another institution were excluded. Length of hospital stay, and rate of readmission within 30 days after discharge for all four categories and mean number of physician visits within 30 days after discharge for two categories (AMI and bronchitis or asthma. The length of stay decreased significantly over the 4 years for all of the four categories, the smallest change being observed for patients with AMI (11.1%) and the largest for those with bronchitis or asthma (22.0%). The readmission rates for AMI, bronchitis or asthma, and TURP showed no consistent change over the 4 years. The readmission rate for uterine or adnexal procedures increased significantly between the first and second year (chi 2 = 4.28, p = 0.04) but then remained constant over the next 3 years. The mean number of physician visits increased slightly for AMI in the first year (1.92 to 2.01) and then remained virtually the same. It decreased slightly for bronchitis or asthma over the 4 years. There was no significant correlation between length of stay and readmission rates for individual hospitals in 1992-93 in any of the four categories. Also, no correlation was observed between length of stay and mean number of physician visits for individual hospitals in 1992-93 in the categories AMI and bronchitis or asthma.","Yes, there is a concerning difference in 30-day and 1-year mortality rates based on age groups undergoing emergency general surgery laparotomies, indicating an area that requires focused attention and improvements in healthcare practices.",maybe,"Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",26037986,1.8243443965911865,0.725664496421814,0.6499999761581421,0,PubMedRAG,768,2015,"['Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Cause of Death', 'Cohort Studies', 'Emergency Treatment', 'Female', 'General Surgery', 'Humans', 'Incidence', 'Laparotomy', 'Male', 'Middle Aged', 'Needs Assessment', 'Retrospective Studies', 'Risk Assessment', 'Time Factors', 'United Kingdom']"
Amblyopia: is visual loss permanent?,"Assessment of visual acuity depends on the optotypes used for measurement. The ability to recognize different optotypes differs even if their critical details appear under the same visual angle. Since optotypes are evaluated on individuals with good visual acuity and without eye disorders, differences in the lower visual acuity range cannot be excluded. In this study, visual acuity measured with the Snellen E was compared to the Landolt C acuity. 100 patients (age 8 - 90 years, median 60.5 years) with various eye disorders, among them 39 with amblyopia due to strabismus, and 13 healthy volunteers were tested. Charts with the Snellen E and the Landolt C (Precision Vision) which mimic the ETDRS charts were used to assess visual acuity. Three out of 5 optotypes per line had to be correctly identified, while wrong answers were monitored. In the group of patients, the eyes with the lower visual acuity, and the right eyes of the healthy subjects, were evaluated. Differences between Landolt C acuity (LR) and Snellen E acuity (SE) were small. The mean decimal values for LR and SE were 0.25 and 0.29 in the entire group and 0.14 and 0.16 for the eyes with strabismus amblyopia. The mean difference between LR and SE was 0.55 lines in the entire group and 0.55 lines for the eyes with strabismus amblyopia, with higher values of SE in both groups. The results of the other groups were similar with only small differences between LR and SE.",The records of 465 patients with an established diagnosis of age related macular degeneration who had attended a specialist macular clinic between 1990 and 1998 were scrutinised. A full clinical examination and standardised refraction had been carried out in 189 of these cases on a minimum of two occasions. Cases were looked for where an improvement of one or more lines of either distance or near acuity was recorded in the eye unaffected by macular disease. In each one of these cases the improvement in visual acuity could not be attributed to treatment of other existing pathology. 12 such cases were detected. In nine of these the eye showing improvement of acuity had a history of amblyopia. The mean improvement in distance and near acuity in amblyopic eyes by 12 months was 3.3 and 1.9 lines logMAR respectively. The improvement in acuity generally occurred between 1 and 12 months from baseline and remained stable over the period of follow up.,"No, based on the provided context, it appears that some degree of visual improvement can occur in amblyopic eyes affected by conditions like age-related macular degeneration.",no,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.,10966943,0.8906965255737305,0.897556483745575,0.8370177745819092,1,PubMedRAG,768,2000,"['Amblyopia', 'Distance Perception', 'Female', 'Follow-Up Studies', 'Humans', 'Macular Degeneration', 'Male', 'Neuronal Plasticity', 'Retrospective Studies', 'Visual Acuity']"
Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,"To evaluate the impact of HER2 immunoreactivity on clinical outcome in locally advanced urothelial carcinoma patients who received surgery alone, or methotrexate, vinblastine, epirubicin, and cisplatin (M-VEC) as adjuvant chemotherapy. We studied 114 formalin-fixed paraffin-embedded specimens obtained from locally advanced urothelial carcinoma patients receiving surgery alone or adjuvant M-VEC. The authors evaluated HER2 immunoreactivity using immunohistochemical staining and explored the influence of pathological parameters and HER2 immunoreactivity on progression-free survival (PFS) and disease-specific overall survival (OS) using univariate and multivariate Cox's analyses. Urothelial carcinoma of the bladder had a significantly higher frequency of HER2 immunoreactivity than that of the upper urinary tract (60.7 vs. 20.7%, p<0.0001). Overall, nodal status was a strong and independent prognostic indicator for clinical outcome. The HER2 immunoreactivity was significantly associated with PFS (p = 0.02) and disease-specific OS (p = 0.005) in advanced urothelial carcinoma patients. As for patients with adjuvant M-VEC, HER2 immunoreactivity was a significant prognostic factor for PFS (p = 0.03) and disease-specific OS (p = 0.02) using univariate analysis, but not multivariate analysis, and not for patients receiving watchful waiting.","To assess whether eligibility to an adjuvant chemotherapy protocol in itself represents a good prognostic factor after radical cystectomy for bladder cancer. Between April 1984 and May 1989, our institution entered 35 patients with invasive bladder cancer into the Swiss Group for Clinical and Epidemiological Cancer Research (SAKK) study 09/84. They were randomly assigned to either observation or three postoperative courses of cisplatin monotherapy after cystectomy. This study had a negative result. The outcome of these 35 patients (protocol group) was compared with an age- and tumor-stage-matched cohort (matched group; n = 35) who also underwent cystectomy during the same period, but were not entered into the SAKK study, as well as the remaining 57 patients treated during the study period for the same indication (remaining group). Median overall survival decreased from 76.3 months in the protocol group to 52.1 months in the matched group and to 20.3 months in the remaining group. The respective times of median recurrence-free survival were 67.2, 16.0, and 9.4 months. Tumor progression occurred in 46% of the protocol group compared with 69% in the matched group and 65% in the remaining group (P<.05). Cancer-related death was noted in 40% of the protocol group, 57% in the matched group, and 56% in the remaining group.","Yes, HER2 immunoreactivity is a significant prognostic factor for progression-free survival and disease-specific overall survival in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy according to univariate analysis, although it does not remain significant in multivariate analysis.",maybe,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.,17940352,1.3929939270019531,1.0,0.4994048476219177,2,PubMedRAG,768,2007,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols', 'Carcinoma', 'Chemotherapy, Adjuvant', 'Cisplatin', 'Disease-Free Survival', 'Epirubicin', 'Female', 'Follow-Up Studies', 'Humans', 'Immunohistochemistry', 'Lymphatic Metastasis', 'Male', 'Methotrexate', 'Middle Aged', 'Proportional Hazards Models', 'Receptor, ErbB-2', 'Time Factors', 'Treatment Outcome', 'Urinary Bladder Neoplasms', 'Urothelium', 'Vinblastine']"
Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,"To determine whether decreasing lengths of stay over time for selected diagnostic categories were associated with increased hospital readmission rates and mean number of physician visits after discharge. Retrospective descriptive study. The seven large (125 beds or more) acute care hospitals in Winnipeg. Manitoba residents admitted to any one of the seven hospitals because acute myocardial infarction (AMI), bronchitis or asthma, transurethral prostatectomy (TURP) and uterine or adnexal procedures for nonmalignant disease during the fiscal years 1989-90 to 1992-93. Patients from out of province, those who died in hospital, those with excessively long stays (more than 60 days) and those who were transferred to or from another institution were excluded. Length of hospital stay, and rate of readmission within 30 days after discharge for all four categories and mean number of physician visits within 30 days after discharge for two categories (AMI and bronchitis or asthma. The length of stay decreased significantly over the 4 years for all of the four categories, the smallest change being observed for patients with AMI (11.1%) and the largest for those with bronchitis or asthma (22.0%). The readmission rates for AMI, bronchitis or asthma, and TURP showed no consistent change over the 4 years. The readmission rate for uterine or adnexal procedures increased significantly between the first and second year (chi 2 = 4.28, p = 0.04) but then remained constant over the next 3 years. The mean number of physician visits increased slightly for AMI in the first year (1.92 to 2.01) and then remained virtually the same. It decreased slightly for bronchitis or asthma over the 4 years. There was no significant correlation between length of stay and readmission rates for individual hospitals in 1992-93 in any of the four categories. Also, no correlation was observed between length of stay and mean number of physician visits for individual hospitals in 1992-93 in the categories AMI and bronchitis or asthma.","The aim of this study was to investigate the influence of the pharmacokinetics of s.c. anti-TNF agents on the grade of US-detected synovitis in RA patients. Fifty RA patients were prospectively recruited from the Biologic Therapy Unit of our hospital. Inclusion criteria were being in treatment with s.c. anti-TNF agents and having had neither changes in therapy nor local corticosteroid injections in the previous 3 months. Patients underwent clinical, laboratory [28-joint DAS (DAS28) and Simplified Disease Activity Index (SDAI)]and US assessment at two time points, i.e. at peak plasma drug concentration and at trough plasma drug concentration. US assessments were performed blindly to the anti-TNF agent, the administration time and the clinical and laboratory data. Twenty-eight joints were investigated for the presence and grade (0-3) of B-mode synovitis and synovial power Doppler signal. Global indices for B-mode synovitis (BSI) and Doppler synovitis (DSI) were calculated for 12 joints and for wrist-hand-ankle-foot joints. B-mode US remission was defined as a BSI<1 and Doppler US remission as a DSI<1. There were no significant differences between the clinical, laboratory and B-mode and Doppler US parameters at peak time and trough time (P = 0.132-0.986). There were no significant differences between the proportion of patients with active disease and those in remission according to DAS28, SDAI, B-mode US and Doppler US at peak time and trough time assessments (P = 0.070-1).","Yes, necrotizing fasciitis is considered an indication for hyperbaric oxygenation therapy based on the provided medical abstract which suggests that HBOT can be beneficial in treating severe cases of soft tissue infections like necrotizing fasciitis by enhancing bacterial killing through oxygen-mediated mechanisms and promoting angiogenesis via VEGF production.",no,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,7482275,1.5536201000213623,0.6499999761581421,0.5863022804260254,3,PubMedRAG,768,1995,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Fasciitis, Necrotizing', 'Female', 'Humans', 'Hyperbaric Oxygenation', 'Male', 'Middle Aged', 'Retrospective Studies']"
Is a mandatory general surgery rotation necessary in the surgical clerkship?,"Changes in the spectrum of general surgery and the delivery of surgical care have placed the requirement for a mandatory general surgery rotation in the surgical clerkship in question. We tested the hypothesis that equal mastery of surgical clerkship objectives can be obtained in a clerkship with and without general surgery. Students chose any two surgical rotations and were assessed by written examination, objective structured clinical examination (OSCE), ward evaluations, self-assessment objectives questionnaire, and satisfaction survey. Data for 54 students showed no differences in scores between groups on any parameter. No specific concerns related to the absence of general surgery were identified.","To evaluate the effect of the 80-hour workweek restrictions on resident education within surgical programs in the New England area. Web-based survey. All Accreditation Council for Graduate Medical Education (ACGME) accredited surgical residency programs in New England (n = 20). Program directors/coordinators in each surgical residency program in New England. First, American Board of Surgery In-Training Examination (ABSITE) scores and the passing rate of the ABS certifying examination were recorded for the years 2001, 2002, 2005, and 2006. Second, the changes in the curriculum of surgical education were documented as perceived by program coordinators and directors. In all, 85% (17/20) of surgical programs in New England responded to the survey. The programs began to implement the 80-hour workweek from 2002 to 2004. An equal distribution of community (n = 8) and university programs (n = 9) was sampled. Prior to the initiation of the 80-hour workweek, residency programs emphasized weekly didactic sessions given by attending physicians (88%), mock orals (88%), and conventional journal club (76%). After the 80-hour workweek was implemented, the education curriculum most often consisted of didactic sessions by attending (100%), mock orals (88%), and simulation laboratories (75%). No difference was observed in ABSITE scores and first-time pass rates of the ABS examination before or after the introduction of the 80-hour workweek (20% response). Only 25% of programs felt that surgical education was improved after the implementation of the 80-hour workweek, whereas 31% felt education was worse. Overall, 44% of respondents believed that there was no difference in surgical education.",Yes,no,Effective undergraduate surgical education can be offered in many specialty settings. Removal of the requirement for general surgery in clerkship may lead to a more effective use of all educational opportunities. A careful analysis of local programs and facilities is necessary before suggesting this change to other institutions.,9645785,0.24612045288085938,0.9935342669487,0.6787204146385193,4,PubMedRAG,768,1998,"['Attitude', 'Clinical Clerkship', 'Educational Measurement', 'General Surgery', 'Humans', 'Medicine', 'Specialization', 'Students, Medical']"
Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"Studies have shown that schizophrenia patients have motion perception deficit, which was thought to cause eye-tracking abnormality in schizophrenia. However, eye movement closely interacts with motion perception. The known eye-tracking difficulties in schizophrenia patients may interact with their motion perception. Two speed discrimination experiments were conducted in a within-subject design. In experiment 1, the stimulus duration was 150 msec to minimize the chance of eye-tracking occurrence. In experiment 2, the duration was increased to 300 msec, increasing the possibility of eye movement intrusion. Regular eye-tracking performance was evaluated in a third experiment. At 150 msec, speed discrimination thresholds did not differ between schizophrenia patients (n = 38) and control subjects (n = 33). At 300 msec, patients had significantly higher thresholds than control subjects (p = .03). Furthermore, frequencies of eye tracking during the 300 msec stimulus were significantly correlated with speed discrimination in control subjects (p = .01) but not in patients, suggesting that eye-tracking initiation may benefit control subjects but not patients. The frequency of eye tracking during speed discrimination was not significantly related to regular eye-tracking performance.","To investigate whether the Patient Health Questionnaire-9 (PHQ-9) possesses the essential psychometric characteristics to measure depressive symptoms in people with visual impairment. The PHQ-9 scale was completed by 103 participants with low vision. These data were then assessed for fit to the Rasch model. The participants' mean +/- standard deviation (SD) age was 74.7 +/- 12.2 years. Almost one half of them (n = 46; 44.7%) were considered to have severe vision impairment (presenting visual acuity<6/60 in the better eye). Disordered thresholds were evident initially. Collapsing the two middle categories produced ordered thresholds and fit to the Rasch model (chi = 10.1; degrees of freedom = 9; p = 0.34). The mean (SD) items and persons Fit Residual values were -0.31 (1.12) and -0.25 (0.78), respectively, where optimal fit of data to the Rasch model would have a mean = 0 and SD = 1. Unidimensionality was demonstrated confirming the construct validity of the PHQ-9 and there was no evidence of differential item functioning on a number of factors including visual disability. The person separation reliability value was 0.80 indicating that the PHQ-9 has satisfactory precision. There was a degree of mistargeting as expected in this largely non-clinically depressed sample.",It is unclear from the provided information if motion perception deficit in schizophrenia is a consequence of eye-tracking abnormality or vice versa. Further research is needed to establish causation between these two variables in individuals with schizophrenia.,yes,"Speed discrimination, per se, is not impaired in schizophrenia patients. The observed abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This study introduces a novel approach to motion perception studies and highlights the importance of concurrently measuring eye movements to understand interactions between these two systems; the results argue for a conceptual revision regarding motion perception abnormality in schizophrenia.",19054501,1.078765630722046,1.0,0.5488423705101013,5,PubMedRAG,768,2009,"['Adolescent', 'Adult', 'Discrimination (Psychology)', 'Female', 'Fixation, Ocular', 'Humans', 'Male', 'Middle Aged', 'Motion Perception', 'Ocular Motility Disorders', 'Psychomotor Performance', 'Pursuit, Smooth', 'Schizophrenic Psychology', 'Temporal Lobe', 'Visual Pathways', 'Young Adult']"
It's Fournier's gangrene still dangerous?,"Fournier's gangrene is known to have an impact in the morbidity and despite antibiotics and aggressive debridement, the mortality rate remains high. To assess the morbidity and mortality in the treatment of Fournier's gangrene in our experience. The medical records of 14 patients with Fournier's gangrene who presented at the University Hospital Center ""Mother Teresa"" from January 1997 to December 2006 were reviewed retrospectively to analyze the outcome and identify the risk factor and prognostic indicators of mortality. Of the 14 patients, 5 died and 9 survived. Mean age was 54 years (range from 41-61): it was 53 years in the group of survivors and 62 years in deceased group. There was a significant difference in leukocyte count between patients who survived (range 4900-17000/mm) and those died (range 20.300-31000/mm3). Mean hospital stay was about 19 days (range 2-57 days).","A cross sectional study of 38 patients fulfilling the classification criteria for SLE. The patients visited a rheumatology outpatient clinic in Switzerland between January 2002 and December 2004. The last assessment during this period was used for the study. The assessment included, besides demographic data, the measurement of disease activity using the BILAG index, the measurement of disease damage using the SLICC/ACR damage index (SDI), as well as the patient's self assessed health status using the patient's questionnaire Medical Outcome Survey Short Form 36 (SF-36). A total of 36 women and 2 men were included in the study (median age: 43 yrs, median disease duration: 11 yrs). Increased disease activity (total BILAG) was shown to be significantly correlated with reduced physical function. A greater damage (total SDI) correlated significantly with reduced role function due to emotional limitations. Neither age nor disease duration showed any significant correlation with health status in this study.","Yes, based on the provided context, Fournier's gangrene remains a serious condition associated with increased morbidity and mortality rates. Despite advancements in antibiotic therapy and surgical techniques such as aggressive debridement, the mortality rate has not decreased substantially. Factors contributing to poor outcomes include older age, higher leukocyte counts indicating systemic inflammation, and longer hospital stays.",yes,"The interval from the onset of clinical symptoms to the initial surgical intervention seems to be the most important prognostic factor with a significant impact on outcome. Despite extensive therapeutic efforts, Fournier's gangrene remains a surgical emergency and early recognition with prompt radical debridement is the mainstays of management.",19504993,1.694878339767456,0.9980254769325256,0.6689736247062683,6,PubMedRAG,768,2009,"['Adult', 'Female', 'Fournier Gangrene', 'Humans', 'Male', 'Middle Aged', 'Survival Rate']"
Human papillomavirus and pterygium. Is the virus a risk factor?,"Pterygium is a disease of unknown origin and pathogenesis that might be vision threatening. It is characterised by a wing-like conjunctival overgrowth of the cornea. Several studies have investigated human papillomavirus (HPV) as a risk factor for the development of pterygia, but the results are inconclusive.AIM: To investigate a large sample of pterygia for the presence of HPV in order to clarify the putative association between pterygia and HPV. 100 specimens of pterygium from Danish patients and 20 normal conjunctival biopsy specimens were investigated for the presence of HPV with PCR technique using beta-globin primers to access the quality of the extracted DNA and the HPV primers MY09/11 and GP5+/6+. HPV-positive specimens underwent subsequent HPV typing with type-specific HPV primers and further investigation with DNA in situ hybridisation (ISH). 90 of 100 investigated pterygia proved suitable for HPV analysis by PCR. As beta-globin could not be amplified, 10 specimens were excluded from the study. 4 of 90 pterygia harboured HPV. HPV type 6 was identified in all four HPV-positive pterygia. The 20 normal conjunctival biopsy specimens were beta-globin positive and HPV negative. All four pterygia that were HPV type 6 positive were DNA ISH negative.","To investigate the role of viral infection in benign paroxysmal positional vertigo (BPPV). In this retrospective study, 483 patients with BPPV were included in the study group. The control group consisted of 461 healthy subjects. In both groups, serologic analysis of viral agents (HSV1, HSV2, Herpes zoster, EBV, CMV, adenovirus, influenza, and parainfluenza virus) was performed. With the exception of influenza and parainfluenza, all viral serology values were higher in the BBPV group than the control group. We also observed seasonal variation. The BPPV group exhibited elevated values for HSV1 and adenovirus in March and May, for Herpes zoster, adenovirus, and influenza in April, for HSV1 in June, and for HSV1 and CMV in September, compared to the control group. In October, the BPPV group showed increased values for all of the viruses studied, compared to the control group.",There is no conclusive evidence to suggest that Human Papilloma Virus (HPV) is a significant risk factor for developing pterygium based on the provided research context.,maybe,The low presence of HPV DNA in pterygia does not support the hypothesis that HPV is involved in the development of pterygia in Denmark.,17179167,0.8723597526550293,0.7276010513305664,0.6886499524116516,7,PubMedRAG,768,2007,"['Adult', 'Aged', 'Aged, 80 and over', 'Cornea', 'DNA, Viral', 'Female', 'Humans', 'Male', 'Middle Aged', 'Papillomaviridae', 'Papillomavirus Infections', 'Polymerase Chain Reaction', 'Pterygium', 'Risk Factors', 'Tumor Virus Infections']"
Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,"To investigate whether problems in instrumental activities of daily living (IADL) can add to conventionally used clinical measurements in helping to predict a diagnosis of dementia at 1- and 2-year follow-up. Multicenter prospective cohort study. Memory clinics in Europe. Individuals aged 55 and older without dementia. IADLs were measured using pooled activities from five informant-based questionnaires. Structural equation modeling (SEM) was used to investigate the relation between IADLs and dementia. Age, sex, education, depression, and cognitive measures (Mini-Mental State Examination and verbal memory) were included in the model. Five hundred thirty-one participants had baseline and 1-year follow-up assessments; 69 (13.0%) of these had developed dementia at 1-year follow-up. At 2-year follow-up, 481 participants were seen, of whom 100 (20.8%) had developed dementia. Participants with IADL disabilities at baseline had a higher conversion rate (24.4%) than participants without IADL disabilities (16.7%) (chi-square = 4.28, degrees of freedom = 1, P = .04). SEM showed that IADL disability could help predict dementia in addition to the measured variables at 1-year follow-up (odds ratio (OR) = 2.20, 95% confidence interval (CI) = 1.51-3.13) and 2-year follow-up (OR = 2.11, 95% CI = 1.33-3.33).","To determine the potential prognostic value of using functional magnetic resonance imaging (fMRI) to identify patients with disorders of consciousness, who show potential for recovery. Observational study. Unit for acute rehabilitation care. Patients (N=22) in a vegetative state (VS; n=10) and minimally conscious state (MCS; n=12) during the first 200 days after the initial incident. Not applicable. Further course on the Coma Recovery Scale-Revised. Participants performed a mental imagery fMRI paradigm. They were asked to alternately imagine playing tennis and navigating through their home. In 14 of the 22 examined patients (VS, n=5; MCS, n=9), a significant activation of the regions of interest (ROIs) of the mental imagery paradigm could be found. All 5 patients with activation of a significant blood oxygen level dependent signal, who were in a VS at the time of the fMRI examination, reached at least an MCS at the end of the observation period. In contrast, 5 participants in a VS who failed to show activation in ROIs, did not (sensitivity 100%, specificity 100%). Six of 9 patients in an MCS with activation in ROIs emerged from an MCS. Of 3 patients in an MCS who did not show activation, 2 patients stayed in an MCS and 1 patient emerged from the MCS (sensitivity 85%, specificity 40%).","Yes, based on the provided context from the abstracts, it is indicated that problems in instrumental activities of daily living do indeed contribute to predicting a diagnosis of dementia at both 1- and 2-year follow-ups.",yes,"IADL disability is a useful addition to the diagnostic process in a memory clinic setting, indicating who is at higher risk of developing dementia at 1- and 2-year follow-up.",22188074,1.0993225574493408,1.0,0.4515730142593384,8,PubMedRAG,768,2011,"['Activities of Daily Living', 'Aged', 'Dementia', 'Female', 'Follow-Up Studies', 'Humans', 'Male', 'Prognosis', 'Prospective Studies', 'Time Factors']"
Is there any relationship between streptococcal infection and multiple sclerosis?,"Multiple sclerosis (MS) is an immune-mediated inflammatory demyelinating disease of uncertain etiology. Although the mechanisms of inducting autoimmunity by some of the infectious agents have been investigated, there is not yet enough research on streptococcal infections.MATERIAL/ To understand the effect of past group A streptococcal infection on MS, antistreptolysin O (ASO) and antideoxyribonuclease B (ADNase B) were measured in 21 patients with relapsing-remitting MS and 21 healthy blood donors by nephelometric assay. ADNase B levels in the patients with MS were found to be significantly higher than in the controls (p<0.001); however, ASO levels were similar in both groups.",To determine whether the host immune response to gonorrhoea provides limited serovar specific protection from reinfection. 508 episodes of gonorrhoea diagnosed at a city centre genitourinary medicine clinic including 22 patients with multiple infections over a 4 year period. Patients with recurrent gonococcal infection were analysed with respect to the initial and subsequent serovars isolated. No significant difference was seen in the prevalence of serovars isolated following a repeat infection compared with those without repeat infections. The site of the initial infection did not appear to influence the subsequent serovar isolated.,"There may be a link between past streptococcal infection and multiple sclerosis as indicated by elevated anti-deoxyribonuclease B (ADNase B) antibody titers in individuals with multiple sclerosis when compared to healthy controls. However, further studies are needed to establish causality or confirm this association.",yes,"These findings indicate that a relationship between multiple sclerosis and streptococcal infections may exist, but to acquire a better understanding of the role of group A streptococci in the pathogenesis of multiple sclerosis, more studies with animal models are necessary.",18049437,1.5254898071289062,1.0,0.4884033203125,9,PubMedRAG,768,2007,"['Adult', 'Antibodies, Bacterial', 'Antistreptolysin', 'Deoxyribonucleases', 'Female', 'Humans', 'Male', 'Middle Aged', 'Multiple Sclerosis', 'Streptococcal Infections', 'Streptococcus pyogenes']"
